taxid	czn_mic	czn_int	czn_cat
EC112_contigs	<=2	0-2.0	S
EC119_contigs	<=2	0-2.0	S
EC143_contigs	<=2	0-2.0	S
EC153_contigs	>=16	16.0-Inf	R
EC15_contigs	<=2	0-2.0	S
EC16_contigs	<=2	0-2.0	S
EC174_contigs	<=2	0-2.0	S
EC17_contigs	<=2	0-2.0	S
EC19_contigs	<=2	0-2.0	S
EC21_contigs	<=2	0-2.0	S
EC223_contigs	<=2	0-2.0	S
EC227_contigs	<=2	0-2.0	S
EC26_contigs	<=2	0-2.0	S
EC30_contigs	<=2	0-2.0	S
EC31_contigs	<=2	0-2.0	S
EC34_contigs	<=2	0-2.0	S
EC36_contigs	<=2	0-2.0	S
EC53_contigs	8	8.0-8.0	R
EC68_contigs	>=16	16.0-Inf	R
EC72_contigs	>=16	16.0-Inf	R
EC73_contigs	<=2	0-2.0	S
EC75_contigs	<=2	0-2.0	S
EC76_contigs	<=2	0-2.0	S
EC90_contigs	<=2	0-2.0	S
EC9_contigs	>=16	16.0-Inf	R
